"year","ave_diversity_out.coef","ave_diversity_out.lower_ci","ave_diversity_out.upper_ci","weakness_diversity.coef","weakness_diversity.lower_ci","weakness_diversity.upper_ci"
2008,0.0244923175831851,-0.0099731857680703,0.0589578209344406,-0.0280536075152111,-0.0822904509988518,0.0261832359684296
2009,0.026338291180838,0.000248507836031028,0.052428074525645,0.0182554696509889,-0.0165243930807353,0.0530353323827131
2010,0.00651425856986905,-0.010769873086097,0.0237983902258352,-0.0024980226110753,-0.0251072448478464,0.0201111996256958
2011,0.0133190302490468,0.00259762467559975,0.0240404358224938,0.00390495122383124,-0.00999019357757858,0.0178000960252411
2012,-0.00560664915757315,-0.0125677129565589,0.0013544146414126,0.017639078035335,0.00928404300853789,0.0259941130621322
2013,0.00515166777120192,-0.000591238458334279,0.0108945740007381,0.00197053096574588,-0.00542350940231217,0.00936457133380393
2014,0.00383294259163696,-0.000686600000944359,0.00835248518421829,0.0019268547529829,-0.00448982803204242,0.00834353753800821
2015,0.00299322719293255,-0.000924283959622817,0.00691073834548791,0.00790125560242533,0.00233281671093038,0.0134696944939203
2016,0.00364514356995591,0.000363203558161528,0.0069270835817503,0.00274743471063207,-0.00179917335229266,0.0072940427735568
2017,0.00738071124465185,0.00436198830519672,0.010399434184107,0.00754390959181224,0.0033624277386802,0.0117253914449443
2018,0.00556205779094248,0.00285590811428645,0.0082682074675985,0.00362963322917895,-8.7709909682653e-06,0.00726803744932616
2019,0.00722698328926551,0.00449330456564793,0.00996066201288308,0.00628764776115414,0.00266838692464239,0.00990690859766589
2020,0.00807672683666295,0.0056242188580436,0.0105292348152823,0.001909788938628,-0.00125140780924135,0.00507098568649735
